rank,ticker,name,market_cap_krw,market_cap_h,sector,market
481,460860.KS,동국제강,443000000000,4430억,금속,KOSPI
482,336570.KQ,원텍,441500000000,4415억,의료·정밀기기,KOSDAQ
483,009520.KQ,포스코엠텍,440600000000,4406억,금속,KOSDAQ
484,033790.KQ,피노,439900000000,4399억,전기·전자,KOSDAQ
485,126340.KQ,비나텍,439400000000,4394억,전기·전자,KOSDAQ
486,174900.KQ,앱클론,435000000000,4350억,제약,KOSDAQ
487,214430.KQ,아이쓰리시스템,434800000000,4348억,전기·전자,KOSDAQ
488,008060.KS,대덕,434000000000,4340억,금융,KOSPI
489,042000.KQ,카페24,433800000000,4338억,IT 서비스,KOSDAQ
490,417310.KS,코람코더원리츠,432300000000,4323억,리츠,KOSPI
491,215200.KQ,메가스터디교육,430700000000,4307억,일반서비스,KOSDAQ
492,030520.KQ,한글과컴퓨터,427500000000,4275억,IT 서비스,KOSDAQ
493,144960.KQ,뉴파워프라즈마,420500000000,4205억,기계·장비,KOSDAQ
494,020000.KS,한섬,420100000000,4201억,섬유·의류,KOSPI
495,004690.KS,삼천리,419300000000,4193억,전기·가스,KOSPI
496,036810.KQ,에프에스티,418900000000,4189억,전기·전자,KOSDAQ
497,018290.KQ,브이티,418300000000,4183억,화학,KOSDAQ
498,484870.KS,엠앤씨솔루션,417400000000,4174억,기계·장비,KOSPI
499,072710.KS,농심홀딩스,416500000000,4165억,금융,KOSPI
500,004700.KS,조광피혁,415600000000,4156억,섬유·의류,KOSPI
501,019170.KS,신풍제약,413100000000,4131억,제약,KOSPI
502,348370.KQ,엔켐,412800000000,4128억,화학,KOSDAQ
503,078130.KQ,국일제지,411500000000,4115억,종이·목재,KOSDAQ
504,077360.KQ,덕산하이메탈,411200000000,4112억,전기·전자,KOSDAQ
505,002810.KS,삼영무역,406300000000,4063억,유통,KOSPI
506,194370.KS,제이에스코퍼레이션,406200000000,4062억,섬유·의류,KOSPI
507,095660.KQ,네오위즈,405500000000,4055억,IT 서비스,KOSDAQ
508,161000.KS,애경케미칼,405200000000,4052억,화학,KOSPI
509,003000.KS,부광약품,402100000000,4021억,제약,KOSPI
510,357120.KS,코람코라이프인프라리츠,401000000000,4010억,리츠,KOSPI
511,014830.KS,유니드,400600000000,4006억,화학,KOSPI
512,104830.KQ,원익머트리얼즈,399000000000,3990억,화학,KOSDAQ
513,272290.KQ,이녹스첨단소재,398600000000,3986억,전기·전자,KOSDAQ
514,001200.KS,유진증권,398100000000,3981억,증권,KOSPI
515,278280.KQ,천보,395200000000,3952억,화학,KOSDAQ
516,486990.KQ,노타,394700000000,3947억,IT 서비스,KOSDAQ
517,029530.KS,신도리코,394000000000,3940억,전기·전자,KOSPI
518,389470.KQ,인벤티지랩,393200000000,3932억,일반서비스,KOSDAQ
519,219130.KQ,타이거일렉,388300000000,3883억,전기·전자,KOSDAQ
520,001940.KS,KISCO홀딩스,387700000000,3877억,금속,KOSPI
521,372320.KQ,큐로셀,386800000000,3868억,일반서비스,KOSDAQ
522,036620.KQ,감성코퍼레이션,383300000000,3833억,유통,KOSDAQ
523,003280.KS,흥아해운,383200000000,3832억,운송·창고,KOSPI
524,027410.KS,BGF,381400000000,3814억,금융,KOSPI
525,031430.KS,신세계인터내셔날,378500000000,3785억,유통,KOSPI
526,170920.KQ,엘티씨,377700000000,3777억,화학,KOSDAQ
527,027360.KQ,아주IB투자,377400000000,3774억,금융,KOSDAQ
528,015360.KS,INVENI,377400000000,3774억,일반서비스,KOSPI
529,368770.KQ,파이버프로,376500000000,3765억,의료·정밀기기,KOSDAQ
530,253590.KQ,네오셈,376400000000,3764억,기계·장비,KOSDAQ
531,425420.KQ,티에프이,376000000000,3760억,전기·전자,KOSDAQ
532,448900.KQ,한국피아이엠,376000000000,3760억,운송장비·부품,KOSDAQ
533,016590.KS,신대양제지,376000000000,3760억,종이·목재,KOSPI
534,365340.KQ,성일하이텍,375400000000,3754억,화학,KOSDAQ
535,002030.KS,아세아,375300000000,3753억,일반서비스,KOSPI
536,271940.KS,일진하이솔루스,374800000000,3748억,운송장비·부품,KOSPI
537,403550.KS,쏘카,372600000000,3726억,일반서비스,KOSPI
538,016610.KS,DB증권,372300000000,3723억,증권,KOSPI
539,069080.KQ,웹젠,371900000000,3719억,IT 서비스,KOSDAQ
540,452260.KS,한화갤러리아,370100000000,3701억,유통,KOSPI
541,041190.KQ,우리기술투자,369200000000,3692억,금융,KOSDAQ
542,199800.KQ,툴젠,366700000000,3667억,일반서비스,KOSDAQ
543,950210.KS,프레스티지바이오파마,366600000000,3666억,미분류,KOSPI
